km;pts;;;;
406;3807,00;;;;
475,00;3636,00;;;;
477,00;3631,00;;;;
1743,00;1554,00;;;;
112,00;4638,00;;;;
4,00;4986,00;;;;
189,00;4405,00;;;;
109,00;4648,00;;;;
651,00;3230,00;;;;
367,00;3907,00;;;;
293,00;4107,00;;;;
904,00;2726,00;;;;
166,00;4473,00;;;;
218,00;4320,00;;;;
447,00;3704,00;;;;
516,00;3536,00;;;;
104,00;4662,00;;;;
557,00;3440,00;;;;
3452,00;494,00;;;;
532,00;3499,00;;;;
610,00;3322,00;;;;
249,00;4230,00;;;;
105,00;4658,00;;;;
14729,00;0,00;;;;
771,00;2982,00;;;;
127,00;4592,00;;;;
69,00;4772,00;;;;
6,00;4979,00;;;;
100,00;4674,00;;;;
1842,00;1454,00;;;;
428,00;3752,00;;;;
94,00;4692,00;;;;
67,00;4780,00;;;;
65,00;4785,00;;;;
2348,00;1035,00;;;;
1,00;4996,00;;;;
1592,00;1719,00;;;;
0,01;5000,00;;;;
6,00;4979,00;;;;
2197,00;1146,00;;;;
635,00;3266,00;;;;
465,00;3659,00;;;;
1375,00;1989,00;;;;
305,00;4075,00;;;;
17,00;4941,00;;;;
1209,00;2222,00;;;;
145,00;4537,00;;;;
1,00;4994,00;;;;
1036,00;2496,00;;;;
1841,00;1455,00;;;;
166,00;4471,00;;;;
2975,00;680,00;;;;
200,00;4371,00;;;;
374,00;3889,00;;;;
44,00;4853,00;;;;
438,00;3726,00;;;;
471,00;3645,00;;;;
45,00;4849,00;;;;
977,00;2597,00;;;;
437,00;3728,00;;;;
401,00;3821,00;;;;
598,00;3348,00;;;;
699,00;3128,00;;;;
11625,00;0,00;;;;
293,00;4107,00;;;;
153,00;4510,00;;;;
252,00;4221,00;;;;
251,00;4226,00;;;;
146,00;4534,00;;;;
122,00;4605,00;;;;
221,00;4309,00;;;;
106,00;4656,00;;;;
769,00;2986,00;;;;
1507,00;1819,00;;;;
194,00;4390,00;;;;
1679,00;1622,00;;;;
1,00;4994,00;;;;
1211,00;2219,00;;;;
1163,00;2292,00;;;;
1534,00;1787,00;;;;
299,00;4090,00;;;;
50,00;4833,00;;;;
336,00;3990,00;;;;
232,00;4277,00;;;;
2321,00;1054,00;;;;
151,00;4518,00;;;;
2231,00;1120,00;;;;
114,00;4630,00;;;;
47,00;4843,00;;;;
304,00;4076,00;;;;
1179,00;2267,00;;;;
545,00;3468,00;;;;
2014,00;1295,00;;;;
74,00;4757,00;;;;
2637,00;853,00;;;;
127,00;4590,00;;;;
135,00;4566,00;;;;
515,00;3540,00;;;;
154,00;4509,00;;;;
1011,00;2538,00;;;;
395,00;3835,00;;;;
1512,00;1814,00;;;;
4735,00;209,00;;;;
455,00;3684,00;;;;
430,00;3747,00;;;;
4662,00;220,00;;;;
746,00;3031,00;;;;
45,00;4849,00;;;;
1962,00;1341,00;;;;
773,00;2978,00;;;;
109,00;4648,00;;;;
472,00;3643,00;;;;
144,00;4538,00;;;;
508,00;3557,00;;;;
9188,00;11,00;;;;
795,00;2933,00;;;;
134,00;4568,00;;;;
239,00;4260,00;;;;
371,00;3897,00;;;;
2140,00;1191,00;;;;
17,00;4941,00;;;;
2136,00;1194,00;;;;
899,00;2736,00;;;;
2554,00;902,00;;;;
286,00;4127,00;;;;
2915,00;807,00;;;;
453,00;3689,00;;;;
579,00;3391,00;;;;
337,00;3987,00;;;;
29,00;4901,00;;;;
134,00;4570,00;;;;
447,00;3704,00;;;;
2,00;4990,00;;;;
2082,00;1238,00;;;;
3031,00;665,00;;;;
135,00;4565,00;;;;
14201,00;0,00;;;;
51,00;4832,00;;;;
863,00;2804,00;;;;
217,00;4321,00;;;;
294,00;4104,00;;;;
1256,00;2141,00;;;;
527,00;3510,00;;;;
802,00;2920,00;;;;
1617,00;1691,00;;;;
150,00;4520,00;;;;
638,00;3259,00;;;;
349,00;3957,00;;;;
801,00;2922,00;;;;
11,00;4963,00;;;;
142,00;4543,00;;;;
320,00;4033,00;;;;
245,00;4240,00;;;;
291,00;4114,00;;;;
65,00;4785,00;;;;
17149,00;0,00;;;;
212,00;4337,00;;;;
2258,00;1100,00;;;;
8598,00;16,00;;;;
188,00;4405,00;;;;
389,00;3850,00;;;;
148,00;4525,00;;;;
1119,00;2361,00;;;;
702,00;3122,00;;;;
2656,00;842,00;;;;
458,00;3678,00;;;;
1008,00;2542,00;;;;
661,00;3210,00;;;;
1502,00;1826,00;;;;
17,00;4942,00;;;;
734,00;3056,00;;;;
1955,00;1348,00;;;;
414,00;3788,00;;;;
994,00;2568,00;;;;
1278,00;2122,00;;;;
3895,00;367,00;;;;
0,66;4998,00;;;;
420,00;3772,00;;;;
238,00;4260,00;;;;
5,00;4983,00;;;;
634,00;3268,00;;;;
18,00;4937,00;;;;
1023,00;2518,00;;;;
190,00;4401,00;;;;
763,00;2997,00;;;;
428,00;3752,00;;;;
203,00;4364,00;;;;
1428,00;1919,00;;;;
4,00;4985,00;;;;
122,00;4607,00;;;;
2785,00;773,00;;;;
1132,00;2340,00;;;;
3862,00;375,00;;;;
798,00;2928,00;;;;
668,00;3195,00;;;;
390,00;3849,00;;;;
509,00;3552,00;;;;
254,00;4216,00;;;;
1085,00;2416,00;;;;
2,00;4993,00;;;;
321,00;4031,00;;;;
467,00;3655,00;;;;
486,00;3609,00;;;;
10306,00;5,00;;;;
239,00;4259,00;;;;
352,00;3947,00;;;;
11,00;4961,00;;;;
531,00;3501,00;;;;
2438,00;975,00;;;;
659,00;3213,00;;;;
2091,00;1231,00;;;;
11520,00;2,00;;;;
567,00;3418,00;;;;
448,00;3702,00;;;;
562,00;3430,00;;;;
714,00;3097,00;;;;
447,00;3704,00;;;;
838,00;2850,00;;;;
19,00;4936,00;;;;
1542,00;1777,00;;;;
278,00;4150,00;;;;
18551,00;0,00;;;;
339,00;3982,00;;;;
246,00;4240,00;;;;
284,00;4132,00;;;;
1787,00;1508,00;;;;
1213,00;2217,00;;;;
124,00;4600,00;;;;
75,00;4752,00;;;;
7711,00;28,00;;;;
1808,00;1487,00;;;;
311,00;4057,00;;;;
732,00;3060,00;;;;
450,00;3698,00;;;;
781,00;2961,00;;;;
411,00;3795,00;;;;
1838,00;1458,00;;;;
477,00;3630,00;;;;
1047,00;2477,00;;;;
956,00;2634,00;;;;
389,00;3851,00;;;;
3,00;4989,00;;;;
143,00;4541,00;;;;
1362,00;2006,00;;;;
827,00;2871,00;;;;
600,00;3342,00;;;;
1818,00;1477,00;;;;
2848,00;741,00;;;;
6712,00;56,00;;;;
869,00;2792,00;;;;
419,00;3775,00;;;;
203,00;4361,00;;;;
24,00;4920,00;;;;
140,00;4551,00;;;;
0,80;4997,00;;;;
497,00;3582,00;;;;
1363,00;2004,00;;;;
62,00;4793,00;;;;
1,00;4994,00;;;;
1711,00;1558,00;;;;
166,00;4472,00;;;;
188,00;4406,00;;;;
384,00;3864,00;;;;
4,00;4986,00;;;;
685,00;3157,00;;;;
532,00;3499,00;;;;
14901,00;0,00;;;;
59,00;4804,00;;;;
6,00;4980,00;;;;
201,00;4368,00;;;;
87,00;4716,00;;;;
154,00;4509,00;;;;
582,00;3383,00;;;;
1441,00;1903,00;;;;
616,00;3308,00;;;;
1909,00;1390,00;;;;
769,00;2985,00;;;;
1,00;4995,00;;;;
7267,00;38,00;;;;
316,00;4004,00;;;;
769,00;2984,00;;;;
16903,00;0,00;;;;
17886,00;0,00;;;;
689,00;3149,00;;;;
686,00;3156,00;;;;
419,00;3776,00;;;;
592,00;3360,00;;;;
83,00;4727,00;;;;
1438,00;1906,00;;;;
552,00;3452,00;;;;
1363,00;2004,00;;;;
10562,00;4,00;;;;
3322,00;539,00;;;;
1031,00;2504,00;;;;
0,88;4997,00;;;;
1011,00;2538,00;;;;
2,00;4991,00;;;;
3814,00;388,00;;;;
583,00;3381,00;;;;
924,00;2691,00;;;;
276,00;4155,00;;;;
223,00;4306,00;;;;
1393,00;1964,00;;;;
18,00;4937,00;;;;
482,00;3618,00;;;;
2701,00;817,00;;;;
1526,00;1797,00;;;;
0,09;5000,00;;;;
278,00;4149,00;;;;
83,00;4729,00;;;;
3569,00;457,00;;;;
1488,00;1843,00;;;;
329,00;4009,00;;;;
506,00;3561,00;;;;
203,00;4361,00;;;;
185,00;4415,00;;;;
326,00;4016,00;;;;
552,00;3453,00;;;;
658,00;3216,00;;;;
510,00;3551,00;;;;
1832,00;1463,00;;;;
11636,00;0,00;;;;
369,00;3902,00;;;;
1758,00;1538,00;;;;
1044,00;2482,00;;;;
292,00;4111,00;;;;
234,00;4273,00;;;;
9539,00;8,00;;;;
3975,00;348,00;;;;
291,00;4114,00;;;;
1506,00;1821,00;;;;
4,00;4984,00;;;;
826,00;2873,00;;;;
307,00;4070,00;;;;
2094,00;1228,00;;;;
4720,00;0,00;;;;
17,00;4941,00;;;;
