0;1;2;3;4;5;6
ашрэ;йрн;0,660499;0,888978;0,853982;1;0,706758
дсью;ъ;1;0,974868;0,93045;0,94623;0,867329
сяонйнхрэ;ъ;1;0;0;0;0
цнпнд;ъ;0,559983;0,773928;0,978779;1;0,985275
ъ;онпъднй;0,451062;0,718134;1;0,685888;0,610395
ярюпхй;ъ;0;0;0,941176;1;0,963458
ъ;бмсрпх;1;0;0;0;0
ъ;якшьюрэ;1;0,782298;0,561572;0,507559;0,486668
беяекши;ъ;0;1;0,977099;0,873622;0,865988
яеаъ;онвсбярбнбюрэ;1;0;0;0;0
йюйни;ашрэ;0,674474;1;0,965165;0,98979;0,891291
ъ;сирх;1;0,933732;0,74579;0,766975;0,730581
бяецдю;ашрэ;1;0;0;0;0
ялнрперэ;ъ;0,595747;1;0,441673;0,457197;0,462312
йпнбюрэ;ъ;0,604931;0,651834;1;0,949489;0,948286
еые;ашрэ;1;0,643653;0,5073;0,547884;0,610492
яюлши;унпньхи;1;0;0;0;0
ьеъ;ъ;1;0,985003;0,608998;0,759507;0,758436
бгднумсрэ;ръфекши;1;0;0;0;0
ярпюьмши;ъ;0,66178;1;0,935288;0,852376;0,834681
щрнр;лхмсрю;1;0;0;0;0
сялеумсрэяъ;ъ;1;0,876397;0,845342;0,9;0,863354
ъ;онрнл;1;0,667316;0,792316;0,866399;0,875
ъ;пюгцнбюпхбюрэ;0,957606;1;0,695761;0,708229;0,69015
яоюярх;ъ;1;0;0;0;0
еые;бяе;1;0;0;0,131656;0,144043
ъ;онйюгюрэ;1;0,41877;0,381014;0,384898;0,365049
ъ;ящл;0;0,82659;0,953757;1;0,938068
декюрэ;бяе;1;0;0;0;0
ъ;онлныэ;0,691733;1;0,78628;0,828936;0,76737
ъ;вепмши;0;0,80967;0,932747;0,98022;1
яюл;ъ;1;0,602369;0,525212;0,53142;0,56056
цнд;рпх;1;0;0;0;0
ъ;депфюрэяъ;0;1;0;0;0
бпелъ;бпелъ;0;1;0;0;0
щрнр;кчдх;1;0;0;0;0
ъ;рбепдши;0;0,990054;1;0,864575;0,866106
ъ;бяе;0,980621;0,934806;0,992967;1;0,991474
дерэ;якедсчыхи;1;0;0;0;0
гднпнбши;ъ;0,889595;1;0,861001;0;0
нысыюрэ;ъ;1;0;0;0;0
йпнбэ;ъ;0,689241;0,829747;1;0,900633;0,876582
дкхммши;ъ;0;0,751479;0,880917;0,889053;1
онпю;рнр;1;0;0;0;0
кчани;ъ;0;0,961422;0,983095;1;0,980494
носярхрэ;ъ;1;0;0;0;0
гкни;ъ;0;1;0,950685;0;0
ъ;бшякюрэ;1;0;0;0;0
ярнърэ;ъ;1;0,669183;0,65978;0,691167;0,735532
ъ;бекерэ;1;0;0;0;0
янбяел;ашрэ;1;0;0;0;0
ъ;йнте;0,812546;0,97048;1;0,967528;0,934317
гмюрэ;лнвэ;1;0;0,893976;0,892369;0,871486
ъ;янбяел;0,913934;1;0,965984;0,975615;0,911475
ъ;сдюрэяъ;1;0,710036;0,447775;0,416894;0,408038
лнфмн;ашрэ;1;0;0;0;0
ъ;гюбепхрэ;1;0;0;0;0
бняйкхймсрэ;ъ;1;0,697094;0,73845;0,711997;0,704545
дфей;ъ;0;0,833851;0,878882;0,985249;1
лнлемр;рнр;1;0;0;0;0
ашрэ;бшмсфдеммши;1;0;0;0;0
ъ;онрепърэ;1;0,612768;0,571101;0,546254;0,517966
ъ;аеяонйнхрэяъ;0,744334;1;0,71034;0,711756;0
депфюрэяъ;ъ;0;1;0;0;0
опедкнфемхе;ъ;1;0;0,855702;0,806051;0,831652
ъ;апняхрэяъ;0,960441;1;0;0;0,684825
яеаъ;яюл;1;0,570515;0;0;0
ашрэ;онврхрэ;1;0;0;0;0
псйю;наю;1;0;0;0;0
