Р1;Р2;0;1;2;3
ъ;дкхммши;0;0,844741;0,991653;1
анц;н;1;0;0;0
ъ;бярпевю;0,704545;1;0,885227;0,943182
ъ;гюялеърэяъ;1;0;0;0
дн;ъ;0;0,591385;1;0,653085
ъ;цнкнбю;0,652475;1;0,771932;0,791043
нвемэ;унверяъ;1;0;0;0
онярсохрэ;ъ;1;0;0;0
онякедмхи;б;1;0;0;0
яксвюимши;ъ;1;0;0;0
вепрю;ъ;0,745443;1;0,779425;0,768304
ъ;сфюя;0;1;0,991961;0,903537
фекюрэ;ъ;0,947911;1;0,685405;0,620939
ъ;онбеярх;1;0;0;0
ъ;онлнцюрэ;1;0;0;0
векнбей;ндхм;1;0;0;0
бюь;ъ;0,168552;0,848481;1;0,985693
псйю;кебши;1;0;0;0
врн;лнвэ;0;1;0;0
о;аб;1;0,849315;0,851494;0,821918
х;ъ;0,945582;1;0,974648;0,943586
ъ;меяйнкэйн;0,328893;1;0,941882;0,847294
бяе;лнвэ;0,435204;0,95761;1;0,807025
демэ;дбю;1;0;0;0
ашрэ;опюбши;1;0;0;0
ао;ц;1;0,561471;0,637464;0,631171
ъ;мюакчдюрэ;0,489198;1;0;0
еые;лмнцн;1;0;0;0
б;наыхи;1;0;0;0
опедкюцюрэ;ъ;1;0;0;0
нр;ъ;1;0,867512;0,843894;0,759217
якнбн;ъ;1;0,723929;0,807143;0,885
гюярюбхрэ;яеаъ;1;0;0;0
псйю;онкнфхрэ;1;0;0;0
яфюрэ;ъ;1;0;0;0
цнбнпхрэ;рнр;0;1;0;0
ъ;сярюрэ;0,871377;1;0,623792;0
ъ;яннаыхрэ;1;0,45102;0,430102;0,415051
опедсопедхрэ;ъ;1;0;0;0
бяе;еые;1;0;0;0,131613
бвепю;ъ;1;0,893916;0,632865;0,654186
анц;лшрэ;1;0;0;0
скшамсрэяъ;ъ;1;0,768758;0,705207;0,720731
якюаши;ъ;0;0;1;0
ъ;лнкндни;0,407335;0,835349;0,973859;1
ндхм;псйю;1;0;0;0
ъ;опефмхи;0;1;0,659336;0,58646
цсаю;ъ;1;0,585955;0,511784;0,569805
ъ;лмемхе;1;0;0;0
