,0,3,6,9,12,15,18,21
0,"-2,9","-2,7","-2,6","-2,2","-0,7","-1,8","-4,4","-5,5"
1,"-4,6","-5,7","-2,6","-2,7","-3,5","-2,9","-2,9",-3
2,"-0,9","-1,8","-2,2","-1,7","-0,6","0,2","-2,2","-3,4"
3,"0,8",1,"0,9","0,4","0,7","-0,1","-0,6","-0,8"
4,"2,7","1,8","1,9","2,1","3,1","2,6",2,"1,4"
5,"3,2","2,1","2,9","4,2","5,7","5,1",4,"2,6"
6,"0,6","0,4","-0,5","-1,1","1,1","0,5","2,3","2,9"
7,"-7,1","-6,9","-5,4","-2,7","0,6","1,6","0,5","0,8"
8,"-0,3","-0,8","-1,8","-2,7","-1,7","-1,4","-5,3","-5,9"
9,"5,6","5,4","5,2","4,2","4,2","3,3","2,2","1,1"
10,"7,2","6,6","5,6","6,5","8,1","6,9","7,4","6,8"
11,"6,6","6,4","6,6","6,8","8,9","9,6",6,"5,5"
12,"8,7","8,1","8,5",9,"9,6","10,1","8,4","6,5"
13,"5,4","5,3","5,6","6,3","8,3","9,9","9,6","9,2"
14,"5,3","5,9","5,2","5,8","6,5","6,7","6,3","5,8"
15,"6,4","6,6","6,2",6,"6,5","7,8","7,7","6,6"
16,"1,6","-3,8","6,2","2,1",12,12,"8,8","8,1"
17,"3,1","2,4","0,8","2,3","10,1","11,9","7,4","2,9"
18,4,"6,3","5,8","4,1","8,9","12,8","7,8","4,8"
19,"3,5",4,"5,1",6,"7,3","10,7",8,"7,1"
20,"8,4","7,5",6,"6,3","7,2","6,8","6,1","5,2"
21,"6,7","6,1","4,8","5,4","9,3","7,2",7,8
22,"2,4","0,1","0,1","1,7","7,8","9,5","7,2",6
23,"-4,1","-4,8","-5,3","-0,9","5,8","7,9","3,9","2,8"
24,"0,7","0,7","0,1",0,"1,5","2,8","-0,5","-2,5"
25,"3,8","2,7","1,4","3,3","6,4","6,6","4,1","3,1"
26,"10,4","7,3","4,6","7,1","11,4","12,3","9,3","8,2"
27,"12,2","10,1","9,4","9,9","12,1","14,2","12,7","11,3"
28,"3,4","3,3","3,5","6,7","9,3","12,2","13,4","13,2"
29,"1,2","2,2","1,1","2,5","4,3","4,2","1,8","0,8"
30,"4,6",4,"2,1","3,5","6,6","5,9","3,2","2,7"
31,"2,9","0,8","0,2","3,9","9,7","10,7","7,2","5,8"
32,"8,1","7,3","6,6",8,"12,9","13,2","8,1",5
33,1,"0,5","0,3","4,5","11,5","11,6","9,9","8,3"
34,7,"6,6","5,3","5,2","10,4",11,7,"5,2"
35,"12,1","9,9","8,8","8,3","6,3","6,4","8,6","9,6"
36,"11,5","12,1","11,1","9,1","15,1","17,4","16,5","13,9"
37,"0,6","-0,9","-1,3","3,4","13,9","14,9","12,6","11,9"
38,"-1,2","-2,8","-4,5","2,7","12,6","13,7","9,2","4,6"
39,-1,"-3,3","-3,8","2,8","12,4","14,7","9,2","2,5"
40,"-1,6",-3,"-4,5","2,9","11,9","13,4","8,8","1,5"
41,"0,9","-2,5","-4,3","3,6","11,2","12,4","7,6","1,3"
42,2,"1,9","1,3","3,7",12,13,9,"2,2"
43,6,"4,7",-1,"4,6","9,1","10,2","7,7","0,7"
44,"6,5","7,1","6,8","7,2","9,6","10,5","8,3","8,3"
45,0,"2,4","3,2","5,6","8,2","9,8","7,3",5
46,"1,1","-0,6","-1,6","0,6","10,8","11,9","7,1","3,3"
47,"2,5","2,7",2,"4,9","9,8","10,5","7,8","3,4"
48,"-0,9","-0,4","-1,4","3,6","7,7","9,4","6,3","3,5"
49,"0,5","-1,3","-0,9","3,6","6,7","7,6","4,9","1,1"
50,1,"-0,9","-1,5","2,2","10,4","11,6","9,3","2,3"
51,"8,7","8,1","7,2","6,6","7,1","7,6",7,"3,5"
52,"9,7","9,9","9,9","10,2","10,5",12,10,"9,3"
53,"10,5","9,9","9,3","9,8","11,2","10,3","10,2","9,8"
54,9,"8,5","6,1","10,7","14,6","14,1","12,6","11,4"
55,"8,2","7,8","6,8","8,4","12,1",13,"11,3","9,8"
56,"9,4","9,1","7,8","9,2","11,1","10,4","9,7","8,8"
57,"8,8","7,6","8,2","9,6","11,5","11,5","11,1","9,7"
58,"7,7","7,8","8,5","8,9","9,4","9,8","9,8","9,6"
59,"7,7","7,1","6,7","6,6","6,9","7,5","7,8","7,6"
60,"8,1","6,7","5,5","5,9","8,1","8,3","8,1","7,5"
61,"6,9","0,1","1,4","7,8","11,2","12,1","10,5","8,1"
62,"1,8","2,1","0,5","8,6","11,7","12,4","10,1","7,2"
63,"2,7","7,2","5,7","8,1","13,2","13,4","12,6","5,7"
64,"10,6",13,"5,5","10,5","13,8","15,4","11,6","5,1"
65,"17,5","13,6","11,7","15,1","21,5","20,9","19,7","15,6"
66,14,"12,6","12,6","17,8","25,8","25,2","24,1","17,4"
67,"11,1","13,4","13,3","16,7","22,3","24,6","22,3","15,6"
68,"15,9","16,2","12,6","16,7","20,7","22,2","21,2","13,1"
69,"15,2","10,7",16,"18,1","21,7","21,8","21,1","18,1"
70,"11,4","10,9","13,5","15,2","18,3","20,6","21,8","18,3"
71,11,"3,1","9,6","12,5","16,5","18,7","16,7","11,8"
72,"4,9","0,7","1,6","10,7","13,5","14,8","15,4","12,4"
73,"2,6",4,0,"9,8","13,2","12,8",12,"5,1"
74,"6,4","11,8","2,6",9,"13,5","14,5","11,6","4,8"
75,"12,3","10,6","9,6","9,3","10,8","11,5","11,9","7,7"
76,"11,5","14,5","9,6","11,3","14,5","16,2","15,1","12,5"
77,"16,3","16,4","13,7","17,6","13,7","15,8","13,7","12,6"
78,"19,6","12,7","14,7","18,9","25,4","23,2","23,7","18,8"
79,"16,5","14,7","11,4","19,7","27,3","29,5","26,4","16,4"
80,"17,5","12,6","13,7",22,"27,4","29,3","26,7","20,1"
81,"16,6","16,4","12,5","19,9","26,4","28,2","26,4","20,2"
82,"17,8","15,4","15,8","18,8","22,8","26,8","25,3",18
83,"17,1","17,7","14,1",19,"23,8","25,1","23,8","20,1"
84,"19,3","8,5","15,9",16,"18,7","20,2","22,2","18,3"
85,"10,7","9,9","9,9","19,5","23,6","25,5","23,4","19,5"
86,"11,2","14,3","8,9","17,4","23,1","22,6",22,"15,1"
87,"16,6","16,9","11,2","17,8","21,4",23,"22,6","16,2"
88,18,"18,5",16,19,"20,5","23,9","23,6","18,5"
89,"21,7","21,1",18,"20,9","27,3",28,"26,3","22,6"
90,"23,4","20,1","18,9",25,"33,3","31,7","24,6","24,6"
91,"21,8","17,5","20,1","26,3","33,4","34,9","32,7","25,3"
92,"19,5","17,3","18,2","26,1","31,2","32,5","31,1","24,2"
93,"18,6","16,8","17,1","24,4","26,4","27,9","28,6","21,9"
94,"17,7","12,5","16,2","22,3","27,2","27,8","25,7","20,4"
95,"13,6","15,7","11,7","19,2","24,6","26,2","26,3","20,5"
96,"16,4",19,"15,3","17,4","19,3","22,5","22,4","17,4"
97,"21,4","26,8","18,2","19,3","22,5","23,9","22,8","19,3"
98,28,"23,6","25,4","27,5","32,2","33,8","31,2","21,1"
99,"23,6","22,5","21,1",24,"29,7","30,4","28,6","28,2"
100,"22,1","21,8","21,6","22,3","29,6","28,9","27,3","22,5"
101,"24,9","20,8","23,1","23,3","24,3","22,1","24,5","24,5"
102,"21,2","20,5","19,8",26,"31,6","31,5","28,8","25,6"
103,"21,9","19,5","20,4",25,"28,5","31,4","30,2","24,2"
104,"19,3","12,3","19,7",24,"29,6","29,2","28,7","24,6"
105,"15,4","16,8","13,3","22,4","24,5","26,7","26,7","20,8"
106,"16,6","21,4","16,6","21,6","23,8","25,8","23,5","18,4"
107,"23,8","19,5","21,7","26,7","23,5","25,6","20,8","19,3"
108,"20,3","16,9","19,7","27,8",32,"34,1","32,8","27,1"
109,"18,6","17,9","16,8","25,7","29,8","31,6","31,1","22,6"
110,"19,3","17,9",18,"24,4","27,5",29,"28,8","22,4"
111,"19,6","18,2","17,6","26,2","29,6","23,8","23,4","21,9"
112,"18,3","15,6","18,1","23,9","27,3","29,9","26,3","22,7"
113,17,"15,7","15,6","24,8","28,8","29,4","21,2","18,7"
114,"18,1","13,6","16,1",24,"28,6","28,2","26,5","21,4"
115,"13,5",11,"12,9","21,9",26,"26,1","26,8","21,2"
116,"12,6","12,3","11,9","19,4","23,3",24,"23,7","18,9"
117,"16,8","12,4","14,6","18,3","23,2","23,5","22,5",18
